sample,group,(+-)-alpha-Tocopherol,(Z)-2-TRIDECEN-1-OL,"1,2-anhydro-myo-inositol ",M4,"1,4-DICHLOROBENZENE",16-Hydroxyhexadecanoic acid,1-Docosanol,1-Hexadecanol,1-monoolein,1-monopalmitin,1-OCTEN-3-OL,"1-O-TETRADECYLGLYCEROL 2,3-DITRIMETHYLSILYL ETHER","2,4,7-OCTANETRIONE","2,6,11-TETRAMETHYLDODECANE",2-BUTYLTHIOPHENE,2-Deoxy-D-glucose,2-deoxytetronic acid,2-Ethylhexanoic acid,2-hydroxybutanoic acid,2-hydroxyglutaric acid,"2-HYDROXYMETHYL-1,3-DIMETHOXY-2-METHYLPROPANE",2-Hydroxypyridine,2-ketoadipic acid ,2-monopalmitin,2-monostearin ,3-aminoisobutyric acid,3-Aminopropionitrile,3-deoxyhexitol ,"3-ETHYL-2,6,10-TRIMETHYLUNDECANE",3-hydroxypropionic acid, formonetin ,4-hydroxybutyric acid,4-Hydroxypyridine,4-PENTENYL ISOTHIOCYANATE,"5,6-Dihydrouracil",M5,5-aminovaleric acid,5-Keto-D-Gluconic acid,5-NONANONE,"6,6-DIETHOXY-4-HEXYN-3-OL",6-deoxyglucitol ,Adipic acid,Allose_1_,Allose_2_+Mannose_2_,Arabitol,Behenic acid,beta-Alanine,beta-D-(+)-Glucose,beta-gentiobiose,beta-Lactose,BUTYL ACRYLATE,butyrolactam ,capric acid,CARVOMENTHONE,cellobiose ,cerotinic acid,cholesterol,citraconic acid,D-(+)-Glucose,D-(+)-Maltose,D-(+)-Trehalose,D-(+)-Xylose,DECANE,D-Homoserine,diacetone alcohol ,digalacturonic acid,DIOCTYL PHTHALATE,DL-beta-Hydroxybutyric acid,DL-Pyroglutamic acid,DOCOSANE,docosenoic acid,DODECANE,dodecanol,D-Panose,"ENDO 1-ETHYL-5-METHYL-6,8-DIOXABICYCLO(3,2,1)OCTAN-3-OL",erythronic acid,erythronic acid lactone,GABA,galactinol,Galactose_2+Glucose_2,"Glucono-1,5-lactone_1",Glyceric acid,glyceric acid,Glycerol,glycerol-3-galactoside,Glycine,Glycolic acid,HENICOSANE,HEPTADECANE,heptadecanoic acid,HEXACOSANE,hexadecylglycerol ,hexitol,HydroxyButyric acid,Hydroxylamine,Icosanoic acid,isobutene glycol ,Isocitric acid+Citric acid,isopentadecanoic acid,Lactic acid,lactitol,lactobionic acid ,Lauric acid,L-Iditol,linoleic acid,lithocholic acid,L-Serine,Lyxose_2_,Maleic acid,Malic acid,Malonic acid,maltitol,maltotriose ,Maltotriose,Mannose_1_,Melibiose,Meso erythritol,meso-Erythritol,methionine with mz 85 99 contaminant ions,METHYL MYRISTATE,methylhexose ,monomyristin,Myo-Inositol,Myricetin,myristic acid,N-Acetyl-D-glucosamine,N-acetyl-D-mannosamine ,N-Acetylneuraminic acid,Niacinamide,NONACOSANE,NONADECANE,Nonadecylic acid,N-VINYL-2-PYRROLIDONE,OCTACOSANE,Octacosanoic acid,OCTADECANE,octadecanol,Octanoic acid,octanol ,oleamide ,oleic acid,Oxalacetic acid+Pyruvate,Oxalic acid,Paeonol,palatinitol,palmitic acid,palmitoleic acid,Palmitoleic acid,Pelargonic acid,PENTADECANE,pentadecanoic acid,Phosphate,p-Hydroxybenzaldehyde,"Phytol,mixture of isomers",Psicose_2_+Tagatose_2_,putrescine 3tms,Rhamnose_1_,Ribitol,Ribitol,Ribose,Serotonin,sophorose ,Sorbose_2,squalene,SQUALENE,Stearic acid,stigmasterol,Succinic acid(or anhydride),Sucrose,TETRACOSANE,TETRADECANE,TRIACONTANE,triacontanol,TRICOSANE,TRIDECANE,Tryptamine_2,Urea,Uridine;,vanillic acid,xylonolactone ,Xylose_2_,Xylulose+Ribulose,zymosterol 
A1,A,3528.75,6501.625,5676.125,1231488,21395.81,938.9375,118723.6,7689.188,17950.56,51186.69,40727.63,1129.313,14656.19,11190.75,13332.69,1712.625,512.125,62.25,793.4375,432.75,337275.3,3962.75,1380.5,8568.375,13533.19,119.25,71.6875,627.5,859.5625,2390.063,39539.56,672.75,89.4375,327469.8,436.8125,1832.5,123.9375,7866.125,219604,34613.56,14761.19,6229.5,2715.313,29577.5,19145.75,11412.5,132.3125,1667.563,3816.625,55798.38,84758.31,312.8125,1492.438,17813.75,1170,2399.188,5772.938,640.125,27597.56,8623.875,1863.563,1839.688,26197.88,728.5,99.1875,9731.438,1141489,965.1875,14297.75,8274.188,4565.563,24975.81,2158.688,51803,37295.38,11062.94,413.0625,192.125,843.4375,2559.25,271894.6,264.125,25211.88,1128,219.375,11143.25,2479.313,21602.19,10209.31,3033.563,8673.563,1120.25,874.6875,967.4375,353.375,13383.63,846.1875,292.6875,12377.63,4820.25,722.875,298043.8,7631.938,56.875,2737.813,13075.81,171.8125,2696.063,344.0625,228.25,309.8125,6420.063,13513.81,735.375,149257.4,7844.688,681.6875,38095.19,3471.688,6425.75,220.25,664.5,5186.438,5764,36324.25,2510.688,5689.563,10031.06,54.5,3664.063,49393.88,5864.438,8325.875,4995,1852.938,339.5625,13758.5,2242.375,7513.125,665.625,9996,282.0625,318.0625,900.1875,5616.75,917483.3,1682.188,7754.813,3922.688,110105.1,4585.313,421.375,8382.688,13002.13,2450.875,60.1875,24907.56,113.25,1427,21.5,289.9375,117.375,4743.813,6265.938,5279.938,771.6875,1933.625,383.9375,9389.188,9615.563,2309.375,2923.25,32472.94,17977.69,21037.63,313.625,662.625,1077.875,109,492.5,652.25,142.3125,12074.81
A2,A,16891.69,7471.688,7777.625,1414296,15536.13,11002.44,646867.4,54105.56,13441.25,1316190,44832.13,19777,14148.25,11769.88,12887.31,8734.063,60503.31,59.625,42000.88,4597.75,353809.9,308.9375,8439.313,103530.1,93388.56,167.0625,1955,478.9375,311.375,106673.6,61700.88,985.1875,8547.688,363816.6,726713.9,7708.938,4782.438,5710.25,217182.7,33659.25,17957.13,8706.813,12453.75,71727.75,1981092,135746.4,86.4375,11587.63,2655.813,2204.375,101943.4,11153.38,10360.63,19387.19,21593.5,38026.19,39937.69,2516.688,10727.63,13979.38,36598.44,21255.38,27930.25,22244.31,115046,3557.063,1471565,33128.06,14308.56,7114.75,12158.44,24346.31,25359.75,280768.2,37440.13,448039.3,2107.125,87.3125,854.875,34350.06,1783.25,29981.06,36855.81,676124.8,315.25,12752,74756,27122.69,13082.75,37528.94,1665.625,12008.13,14324.75,21928.88,656.25,115060.6,13012.88,59231.94,62975.25,4162846,17620.25,909138.4,51535.19,222.4375,20741.5,25571.69,5931,63540.44,4776.688,71636.75,1410.563,29409.38,865516.9,18256.88,371120.3,111407.4,27212.94,459.3125,4332.125,7938.938,17259.44,11262.88,8683.438,42064.44,121682.9,5768.063,25448.06,18077.94,1454.5,5296.5,51161.13,14633.94,9071.563,16156.81,18568.44,102.875,120016.6,2414.813,102072.9,23292.88,203968.6,60295.94,3121.813,23317,29726.19,2265847,21144.81,10418.5,29818.94,107644.4,38288.56,9388.125,35311.75,67137.19,132858.9,205.5625,35946.81,648.9375,12824.38,1222.75,795.75,9420.938,90216.25,8919.688,22168,18979.56,7343.938,22069.75,440371.8,15872.06,5992.438,12220.81,94189.25,8168.313,21250.06,467.9375,141840.1,4295.063,2514,7536.375,12575.69,2221.313,62549.13
A3,A,11697.44,5298.188,4765.625,863234.7,16144.38,8093.813,417619.8,32857.44,8972.688,944946.7,37411.69,12202.44,12316.13,10664.81,11600.38,6456.063,38880.63,73.9375,32580.63,2524.063,300059.2,291.9375,5502,68424.38,66358.69,143,1458.625,421.125,432.5625,70689.75,39664.06,1878.438,6028.688,304853.1,1078135,5323.438,1633.563,5669.938,180281.4,28558.56,16214.5,5879.75,2251.5,34965.06,1488101,87040.88,87.5,6691.313,2035.438,1432.375,79604,7286.75,7010.438,15893.19,14679.69,23316,25762.94,1285.938,6938.5,12940.19,26114.31,13491.69,23502.69,15132.44,119259.3,1695.438,976838.4,20287.5,12471.69,6988.375,10720.06,21625.75,18312.5,203212.9,31608.5,264269.1,2633.938,79.1875,902.0625,18446.44,1128,10460.19,21699,438229.3,269.5,10215.88,53867.44,16670.38,7319.813,26784.19,2253.188,7463.625,9811.313,14438.69,446,77468.81,5915.063,8888.563,37820.25,572906.6,12740,937704,32587.44,154.25,12750.25,17833.63,4162.25,42818,2963.125,15250.81,963.75,16357.13,653548.8,13209.88,196036.4,70658.75,17515.13,355.1875,3436.875,4469,10286.13,7427.25,5974.063,28320.88,91178.06,5399.5,18471.44,9110.063,394.5,3934.125,46049.06,10629.25,7708.875,12291.06,13392.94,2769,68197.88,2209.563,80843.31,12767.31,146800.6,3428.188,2322.688,12054.38,18159.19,2030521,12958.88,6517.75,22345.75,96403.56,25360.75,8260.688,20826.25,39709.88,31606.56,113.8125,23654.5,193.0625,8504.063,875.5625,535.3125,6140.688,24676,7010.188,14003.31,18288.13,5398.188,17036.19,200173.4,17207.31,3687.063,8566.625,56222.5,4429,19123.56,422.6875,95666.13,2764.5,1580.5,4529.813,6739.5,1703.75,42162.94
A4,A,12682,6552.625,7777.875,1370696,20949.5,7805.313,637245.1,52338.75,11659.06,1280004,49755.94,19401.25,15675.13,12684.5,13761.69,7543.063,54288.44,102.875,192775.8,3376.875,345567.1,1350.875,7019.313,97051,85383.25,64.8125,625.1875,235.8125,867.3125,94080.06,39563.31,2899.375,10399,333355.3,4698338,7492,139.4375,7926.938,232789.3,37272.63,20954.31,6830.938,1328.313,48546.38,1880642,104345.9,84.0625,9706.625,2033.688,1122.188,90625.13,9882.5,8419.625,20711.38,18578,22214.19,36474.06,846.125,9940.063,12864.31,35511.94,19853.69,36043.44,20548.94,5069.938,3936.125,1294334,23318,15166.31,9113.625,11754.25,27544.56,20255.5,278485.3,40221.94,403380.1,20934.31,122.6875,930.625,23922.75,1365.938,14074.56,33264.25,574463.5,212.5625,13385.81,62914,24741.19,10966.75,31888.25,2741.188,9880.875,12421.88,17580.63,479.5625,92107.5,6907.938,8543.25,46146.88,449320.3,17771.38,912221.6,44518.69,309.4375,16687.31,24918.31,1099.438,60484.63,3365.25,12829.63,809.4375,27166.25,862021.4,17026.44,255119.8,76609.31,24229.56,393,3970.75,6954.313,17036.06,12183.5,8074.25,41371.31,109192.9,6537.813,23020.81,11710.75,61.25,7021.313,53611.63,12132.94,8616.75,12086.69,11124.75,3729.688,104636.1,2348.438,91704.38,3857.188,173318.5,1985.75,15065.13,21651,27921.5,2319496,16947.38,10139.56,27288.31,118887.9,31709.94,4454.563,37855.69,62289.13,50082.44,162.25,32279.69,513.5,11568.31,844.5625,759.6875,5937.5,35862.94,9725.938,19912.75,19722.31,7108.188,14193.56,247225.2,17687,5484.063,11422.81,80387.75,4317.125,24847,484.25,42400.13,4049.625,2137.125,7010.625,8613.125,2114.25,58678.75
A5,A,13967.5,5913.563,5838.438,1079195,20340.44,7542.625,590597.9,42045.69,10515.63,1108857,37713.5,15191.81,12578.56,10581.44,11826.69,6370.563,46866.13,119.1875,30925.56,3510.375,300611.1,273.75,6679.188,78523.56,72281.13,163,1453.313,577.6875,414.5,84914.81,43513.75,960.6875,8284.625,308371,734205.4,5929.875,4239.063,5215.438,179833.5,28276,15956.56,6506.813,1252.5,37512.19,1625957,98583.94,86.125,7912.063,2244.625,915.5,83886.31,8863.688,8331,16618.06,17928.56,27233.88,31096.81,1077.938,8767.188,4332.563,27678.75,16403.88,24055.25,18059.44,90951.75,3609.625,1177664,24352.31,11529.69,6850.625,10208.63,21340.13,17673.5,238757.7,31864.63,323377.8,2113.313,82,866.5625,19795.75,1105.25,11202.38,27376.88,516703.9,280.5,11529.06,57201.94,21070.5,6989.875,30014.75,1932.313,9167.313,11376.5,16944.25,386.125,85328.69,8030.313,8348.313,44707.44,2575188,13516.38,940183.7,39635.13,291.9375,16431.44,20615.38,2702.063,49030.31,1531.188,14240.69,1078.313,22087.44,769154.4,16702.19,206458.6,84146.25,20416.44,333.3125,3382.5,5833.188,12974.13,8784.625,5635.375,35792.19,97878.69,5134.625,21455.81,10716.5,1142.625,6348.563,41799.38,11626.06,7593.813,13388.88,15642.88,246.4375,84362,1984.563,80979.94,18528.19,161751.7,22354.25,3117.375,16416.19,23516.31,2007228,17237.19,8085.938,21778,84685.19,27187.06,8685.188,26154.19,48709.06,31148.94,131.9375,26938,567.1875,9051.188,905.375,539.4375,8187.438,22324.19,6275.25,16636.38,15055.56,5683.313,19726.81,181433,14965.25,4647.938,9576.125,76429.13,7704.875,17921.5,393.25,112976.8,3130,1890.75,5624.313,6731.188,1724.063,48883.69
A6,A,14105.5,5870.375,6032.5,1113400,17118.44,7434.375,578491.7,43330.88,9721.375,1169716,42616.25,15964.69,12377.25,10697.19,12319.13,6131.188,46234.69,104.5,31956.31,3446.688,330134.4,140.25,6502.375,83247.31,74630.5,119.0625,1333.625,400.9375,391.8125,86466.13,51658.44,865.5,7690.438,326496.1,664623.6,6463.313,5338.313,5807.875,198981.3,32101.69,18217.13,6678.813,713.6875,49744.06,1757127,103471.5,102.3125,8869.75,2200.375,1245.375,91817.25,9087.375,8238.25,17472.06,18130.75,26650.88,32349.88,1181.75,8481.625,14421.13,28040.31,16376.63,25821.69,18080.13,101294.8,4499,1200520,25192.5,12275.94,7803.313,10743.69,23232.5,17975.13,256623,34945,341854.4,1679.188,319.5625,877.5625,21118.94,1267.375,19748,28405.88,550361.8,344.8125,10206.5,66740.19,21119.38,7679.563,29854.25,1999.875,8576.625,11406.5,18188.69,763.625,86229,8615.75,32219.56,48435,3013894,13314.81,928366.7,41966.69,155.25,16989.88,21439.5,3461.75,51065.94,3409.625,40596,1314.75,23679.38,801407.5,17495.31,260830,79530.56,20141.88,361.3125,3513.563,5553.063,13448.56,9432.25,5916,36919.25,103267.9,5626.438,21392.94,10311.25,1720.188,6820.625,41687.19,11405.13,8315.938,13996.94,13865.44,164,93809.5,2162,92273.5,20853.75,170387.9,43189.88,2866.188,16774.56,23533.88,2121914,16363.75,8159.188,22084.5,93252.94,29607.31,8761.75,27247.19,51575.25,73747.5,144.625,26638.5,477.375,9548.688,1052.875,620.875,7775.5,51082.5,6489.875,16921.63,14417.63,6908.938,19386.5,307504,14804.88,4766.063,9729.313,78272,6423.563,19243.56,442.0625,118185.8,3454.375,2097.313,5539.438,8087.75,1818.438,52154.5
B1,B,12531.06,4368.5,7363.938,1317201,21395.19,4145.188,408331.9,32824.88,8157.875,745670.6,56836.88,25306.56,19112.81,15145.63,15382.19,8576.813,36470.19,172.6875,66089.19,3626.125,400565,333990.3,7242.875,41541.63,39568.88,96.9375,2446.75,593.5,9866.938,45186.69,31793.44,213100.2,9011.313,392519.8,3857977,9968.75,1058.25,9090.813,264954,42550.75,4876.125,7561.75,4989.375,98543.88,1911601,62142.38,95.625,23046.06,6297.813,29651.13,106567.1,17617.19,6358.75,22371.69,6303.125,13557.81,45996.38,3943.688,12794.06,10421.56,29915.38,10761.75,36141.38,24876.75,46815.13,47945,436259.5,23674,18187.06,9613,12705.56,30677.69,8371.125,288151.5,47996.88,4356.563,17834.38,1668.438,5310.375,57921.38,1103.063,57807.38,12158.94,873958.2,4246.75,13270.75,67178.31,5912.063,10825.69,23362.5,3028.688,10520.44,7448.438,7209.688,1414,79807.69,7201.688,51197.38,50682.31,442290.7,20598.56,832798.7,33620.25,6524.25,16448.25,19075.25,9582.375,138211.4,4485.375,80658.88,2411.313,23656.13,821162.7,25518.94,471751.6,48774.69,3231.063,968.5,4831.875,1288.25,3749.625,7764.625,8497.875,31938.44,105256.8,8273.688,11427.25,13655.31,601.8125,10019,57540.19,7671.438,9488.75,10294,5498.688,15249.75,216721.6,2893.063,111157.5,710451.7,129349,2809.688,7048.5,2529.313,14758.81,2386082,9297.375,4908.625,21735.81,130476.8,21752.63,12380.06,15031.19,35603.63,314429.9,173.6875,22263.88,3720,8589.688,1391.75,241.5,3601.625,224175.7,7903.313,13218.19,1729412,5023.938,19482.25,885623.5,15686.19,659.4375,4455.063,55371.81,16196.06,27100.38,291.3125,212804.6,9991.188,7862.063,3579.063,25747,2760.75,50655.69
B2,B,13346.19,4664.25,5979.875,1312537,19476.25,4858.563,392753,33789.56,7446.688,731373.9,45856.94,23378.06,15304.63,11949.94,12990.19,7533.125,36198.88,242.25,28218.88,4994.625,355143.2,333384.9,6872.5,40290,36558.63,198.1875,8607.313,496.5,8458.313,40707.25,31911.06,244963.9,6828.625,355984.3,1575033,9822.313,5199.5,7291.063,218228.1,34366.56,18647.63,8079.313,4671.875,41482.94,1864880,71845.13,150.5,21025,5769.25,22799.06,91199.5,15142.69,5567.375,21348.38,6214.75,15286.38,44828.81,15694.25,12061.56,10213.56,27362.69,9741.5,28614.19,23435.25,120944.1,38762.38,415042.6,21259.44,15137.19,8279.438,11299.44,26121.56,7317.938,291309.6,37823.88,3798.813,3623.75,3325.813,5132.063,56777.06,1084.063,22983.31,11309.44,828536,3730.188,14315.88,58796.19,5218.625,9424.75,22936.75,2801.25,10058.5,7209.688,7364.75,1464.375,80527.44,5994.75,2738.188,35868.06,447863.7,20039,820813.9,32221.06,5579.188,17166.69,18708.63,7799.188,127489.9,14943.19,6995.875,2327.938,22017.25,800166.5,25479,225237.9,53973.19,5382.188,1117.5,4026.75,1318.125,4013.313,8057.813,6886.875,29592.63,92399.63,6893.125,11591.5,11863.94,1406.375,7469.5,49660.19,7701.063,8986.188,9779.25,7418.063,15855.75,220037.2,2357.25,95997.13,736154.9,140857.5,2936.563,6453.438,2538.625,13986.63,2238885,9908.75,5374.563,18166.88,113069.4,22124,14320.63,13987.75,33753.25,64937.94,188.125,20123.81,3815.875,8946.938,1783.875,336.875,3712.25,48797.44,7474.5,13303.31,1607109,4957.813,38227.5,441219.9,13523.56,546.8125,4592.188,58820.56,20376.06,22252.81,316.5,244197.4,9984.188,8204.563,3303,16665.69,3345,50793.88
B3,B,11460.63,4156.938,5409.5,1156262,18758.25,546.5,354012.9,28883.31,6760.5,647036.3,43730.19,19668.06,14370.88,11311.63,12735.94,6943.5,31581.56,181,35496.38,4765.625,326867.9,1967.5,6550.75,34372.38,33441.81,281.125,7950.75,252.875,795.375,36901,29571.25,5752.5,6281.688,326293.6,1451712,8419.875,7508.188,5996.938,212075.8,32329.06,17443.31,7696.75,4522.25,38198.38,1786606,63809.63,39.125,17335.44,4817,18478.31,86822.81,13856.38,5176.5,15865.69,5103.813,14320.88,38165.31,14419.5,10857.94,8870.688,26551.81,9004.875,26101,22289.75,110517.8,32430.19,368385.8,19297.38,14058.5,7887.063,10259.19,24006.38,6919.813,285811.1,36463.13,3717.875,3147.188,6878.25,3674.438,47390.69,1110.563,20213.69,10517.31,761473.9,2678.438,9450.625,60636.94,4637.688,7553.75,21646.63,2710.125,9511.438,5639.563,7455.875,1894.438,72298.31,6276.625,3546.563,33462.88,444911.9,16206.31,841243.1,30039.75,4470.438,15619.69,16916.13,6976.75,115118.4,13980.13,6583.313,2449,19271.94,759710.9,22652.56,210785.3,51374.31,5458.563,968.6875,3911.938,1236.25,3784.125,6526.688,6151.438,26510.25,88559.75,6108.375,10302.69,10872.88,2027.5,6935.563,44821.94,7410.625,8770,8681.75,6867.188,13346.13,191710.3,2395.25,87721.31,636573.8,128940.6,3524.188,6411.375,2079.563,13935.06,2155734,9353.188,4953.5,14950.31,101095.6,20528.63,14570.25,11998.06,29208,58185,191.8125,18255.5,2933.375,7417.188,1612,193.125,3589.688,40093.31,7116.688,12135.94,1544779,4863,34490.19,378267.9,12415.88,451.0625,3788.5,52852.31,24399.13,21016.13,252,227265.3,8040.563,7439.25,2976.75,16130.81,3480.938,45408.69
B4,B,12988.13,4845.125,5975.438,1302742,17478.25,4805.375,409677.4,32046.81,8388.313,687326.4,45234.56,21439.5,16178.44,12345,12987.44,7088.875,35145.38,118.8125,37004.06,5260.813,339407.5,1132.75,6955.375,40491.44,37821.81,430.4375,6919.75,438,983,40362.69,38747.88,5864,6495.813,350332.2,1312863,9394.75,11817.88,6189.688,219343.2,33878.19,17839.88,8717.25,4069.813,41956.19,1834777,66675.88,93.6875,21391.94,3957.5,15848.69,93673.19,17257.44,5927.938,18041.5,6190.625,16461.69,44241.88,11565.13,12968.5,10122.5,26641.5,10363.63,27934.38,24038.06,107808.9,28374.25,421170.6,22256.25,15170.06,8450.813,10420.19,26633.56,7773.438,318851.1,37916.94,3980.75,2388.375,20056.81,3227.875,54693.63,1184.125,23507.31,11784.25,838548.3,2253.25,10539.38,68632.31,4873.375,9113.563,23597.63,2332.813,9952.063,6998.313,7530.438,1958.313,81508,6960.813,3302.625,36669.44,576705.4,16413.06,843812.4,35559.81,3824.938,16093,18591.75,7805.313,129529.3,10931.56,6209,2478.438,20353.38,866142.9,27232.56,219709.3,54873.19,5783.438,1041.813,4074.688,1331.563,3961.938,7733.188,6414.75,30944.31,125355.2,7231.438,12119.75,11897,3881.063,5145.563,50668.75,8258,9106.5,9529.938,7841.563,15601.5,223743.4,2533.375,96228.13,755750.8,140592.6,3083.688,6752.5,2404.375,15557.31,2267056,10841.63,5855.5,16937.38,110110.6,22863.13,13614.88,14140.31,36074.19,64856.38,152.375,19410.5,2833.438,9123.563,1567.813,362.75,4007.063,45491.44,9580.563,13688.19,1583908,5104.688,34796.25,403153.4,13954.5,517.875,4305.563,57536.69,25533.19,20837.06,289,297978.1,9258.125,7522.813,3594.375,17225.81,3144.875,48041.63
