"metabolites" "VIPֵ"
"Stearic.acid" 1.76152836748202
"oleamide" 1.75687148973183
"OCTADECANE" 1.74664479750071
"vanillic.acid" 1.74327478001449
"Uridine." 1.71360710506484
"HENICOSANE" 1.70258164394332
"DIOCTYL.PHTHALATE" 1.6995653404297
"METHYL.MYRISTATE" 1.69269366266339
"Lyxose_2_" 1.67719791893428
"beta.D.....Glucose" 1.66542939099287
"octadecanol" 1.66505093765598
"Galactose_2.Glucose_2" 1.64796506664401
"Malonic.acid" 1.64770842642529
"digalacturonic.acid" 1.63817186356619
"L.Iditol" 1.63770656602856
"Ribitol" 1.63461841133198
"glyceric.acid" 1.62983891917495
"galactinol" 1.62092983378065
"Urea" 1.59922699546428
"TETRADECANE" 1.59836434133711
"glycerol.3.galactoside" 1.58038130341476
"L.Serine" 1.55471190484204
"X.Z..2.TRIDECEN.1.OL" 1.54272028698003
"citraconic.acid" 1.53859449492176
"X3.Aminopropionitrile" 1.52576155102158
"Xylose_2_" 1.52498979471188
"Palmitoleic.acid" 1.51279255185915
"butyrolactam" 1.50648441686762
"Phosphate" 1.48245891358521
"Maleic.acid" 1.47380759701282
"TRICOSANE" 1.46184677149917
"Hydroxylamine" 1.45793842485509
"Tryptamine_2" 1.44479467068354
"X2.Ethylhexanoic.acid" 1.4417342186919
"Ribose" 1.43863685362262
"Maltotriose" 1.43219989010958
"erythronic.acid" 1.42805584006475
"Xylulose.Ribulose" 1.41698949035073
"Rhamnose_1_" 1.4060352491475
"M5" 1.40075933038015
"beta.gentiobiose" 1.39306973916532
"Succinic.acid.or.anhydride." 1.38875925815278
"Glycerol" 1.37583541925452
"Paeonol" 1.33734468701301
"Serotonin" 1.31497223897557
"X1.monoolein" 1.30058897071602
"Meso.erythritol" 1.27713438651376
"TRIACONTANE" 1.27043377662418
"cholesterol" 1.23465232786045
"formonetin" 1.22162937586264
"X1.O.TETRADECYLGLYCEROL.2.3.DITRIMETHYLSILYL.ETHER" 1.20150843274249
"Sucrose" 1.19901405687736
"cellobiose" 1.19893537984512
"methylhexose" 1.19878818727705
"N.Acetyl.D.glucosamine" 1.17332954253119
"dodecanol" 1.16141351258603
"p.Hydroxybenzaldehyde" 1.14582296038196
"X2.hydroxyglutaric.acid" 1.14409040668189
"GABA" 1.14190009314739
"Adipic.acid" 1.12337363606885
"Nonadecylic.acid" 1.10490294489043
"X2.monostearin" 1.09986159777846
"X3.aminoisobutyric.acid" 1.09819097635935
"D.Homoserine" 1.09716917228574
"N.acetyl.D.mannosamine" 1.09609985954525
"X4.hydroxybutyric.acid" 1.07668736831031
"X2.Hydroxypyridine" 1.05913231868777
"HydroxyButyric.acid" 1.05902660971156
"D.Panose" 1.04169823269252
"X2.monopalmitin" 1.03732395886769
"Niacinamide" 1.01735672158544
"X5.aminovaleric.acid" 1.01259584245086
"Octanoic.acid" 0.994495005444593
"Octacosanoic.acid" 0.993433446067162
"Glyceric.acid" 0.967874333316095
"X3.ETHYL.2.6.10.TRIMETHYLUNDECANE" 0.967336789860584
"X2.4.7.OCTANETRIONE" 0.966110549390092
"X3.hydroxypropionic.acid" 0.963157520700912
"putrescine.3tms" 0.933097514151339
"lactitol" 0.930308355213447
"N.VINYL.2.PYRROLIDONE" 0.910094600820196
